"","Season","Team","name","pass.att","pass.comp","passyds","pass.tds","rush.att","rushyds","rushtds","recept","recyds","rec.tds","games","total.tds"
"308","2012","STL","J.Hekker",0,0,0,0,0,0,0,0,0,0,1,0
"309","2012","STL","H.Dahl",0,0,0,0,0,0,0,0,0,0,1,0
"310","2012","TEN","J.Locker",32,23,229,1,2,11,0,0,0,0,1,1
"311","2012","TEN","N.Washington",0,0,0,0,0,0,0,2,53,1,1,1
"312","2012","TEN","D.Reynaud",0,0,0,0,2,2,0,3,17,0,1,0
"313","2012","TEN","C.Johnson",0,0,0,0,11,4,0,6,47,0,1,0
"314","2012","TEN","J.Harper",0,0,0,0,1,3,0,1,8,0,1,0
"315","2012","TEN","M.Hasselbeck",11,6,43,0,0,0,0,0,0,0,1,0
"316","2012","TEN","K.Wright",0,0,0,0,0,0,0,5,37,0,1,0
"317","2012","TEN","C.Stevens",0,0,0,0,0,0,0,1,5,0,1,0
"318","2012","TEN","R.Mouton",0,0,0,0,0,0,0,0,0,0,1,0
"319","2012","TEN","D.Williams",0,0,0,0,0,0,0,5,33,0,1,0
"320","2012","TEN","J.Cook",0,0,0,0,0,0,0,4,64,0,1,0
"321","2012","TEN","L.Hawkins",0,0,0,0,0,0,0,2,8,0,1,0
"322","2012","TEN","Z.Brown",0,0,0,0,0,0,0,0,0,0,1,0
"323","2012","TEN","R.Bironas",0,0,0,0,0,0,0,0,0,0,1,0
"324","2012","TEN","A.Ayers",0,0,0,0,0,0,0,0,0,0,1,0
"325","2012","TEN","A.Verner",0,0,0,0,0,0,0,0,0,0,1,0
"326","2012","TEN","D.Morgan",0,0,0,0,0,0,0,0,0,0,1,0
"327","2012","TEN","C.McCarthy",0,0,0,0,0,0,0,0,0,0,1,0
"328","2012","TEN","R.Johnson",0,0,0,0,0,0,0,0,0,0,1,0
"329","2012","TEN","K.Wimbley",0,0,0,0,0,0,0,0,0,0,1,0
"330","2012","TEN","M.Griffin",0,0,0,0,0,0,0,0,0,0,1,0
"331","2012","TEN","J.Babineaux",0,0,0,0,0,0,0,0,0,0,1,0
"332","2012","TEN","Mi.Martin",0,0,0,0,0,0,0,0,0,0,1,0
"333","2012","TEN","W.Witherspoon",0,0,0,0,0,0,0,0,0,0,1,0
